2.jpg, church (23.25), monastery (16.85), mosque (16.76), bell_cote (15.88), beacon (15.88), 
2011-02-24 21.23.28.jpg, television (15.37), screen (15.34), monitor (15.29), iPod (14.33), home_theater (14.15), 
2011-05-12 16.29.55.jpg, remote_control (19.97), oscilloscope (17.29), cellular_telephone (17.06), computer_keyboard (16.84), modem (16.70), 
2011-05-16 16.22.47.jpg, carton (14.67), cassette (14.35), envelope (13.90), packet (12.97), book_jacket (12.86), 
2011-09-23 04.34.54.jpg, crayfish (16.17), spiny_lobster (15.76), American_lobster (13.56), sea_urchin (13.40), hermit_crab (13.17), 
2011-11-04 15.00.09.jpg, pick (13.04), sundial (12.99), wall_clock (12.39), toilet_seat (11.58), frying_pan (11.19), 
2011-12-23 11.58.46.jpg, space_heater (15.63), modem (14.69), printer (14.23), pool_table (13.91), toaster (13.49), 
2011-12-23 21.26.34 HDR.jpg, home_theater (19.13), entertainment_center (17.01), television (15.25), monitor (14.29), screen (13.96), 
2012-01-03 22.13.01.jpg, monitor (17.21), screen (16.83), television (14.91), desktop_computer (14.13), home_theater (13.86), 
2012-01-13 19.59.01.jpg, sports_car (26.65), racer (21.94), car_wheel (21.49), convertible (21.01), grille (18.79), 
2012-01-13 20.00.47.jpg, sports_car (28.67), convertible (26.57), grille (25.14), beach_wagon (24.21), minivan (23.24), 
2012-01-13 20.01.32.jpg, sports_car (20.98), grille (18.10), hard_disc (17.11), convertible (16.81), beach_wagon (16.08), 
2012-01-13 20.03.40.jpg, sports_car (22.00), convertible (19.45), racer (19.41), car_wheel (19.41), toaster (16.75), 
2012-01-13 20.04.24.jpg, projector (16.36), space_heater (15.99), CD_player (15.49), microwave (14.70), tape_player (14.50), 
2012-01-13 20.05.46.jpg, minivan (22.61), sports_car (22.07), convertible (21.18), grille (20.76), limousine (19.51), 
2012-01-21 14.33.52.jpg, monitor (14.79), lampshade (14.72), television (14.68), table_lamp (13.98), balloon (13.86), 
2012-01-24 14.17.33.jpg, television (16.02), dishwasher (15.69), desk (15.67), desktop_computer (15.15), entertainment_center (15.04), 
2012-01-24 14.17.35.jpg, desk (19.50), desktop_computer (19.04), monitor (18.71), screen (18.29), loudspeaker (17.55), 
2012-01-26 17.44.29.jpg, notebook (14.83), waffle_iron (14.50), laptop (14.39), web_site (13.62), rule (13.43), 
2012-01-27 23.49.32.jpg, minivan (16.51), cab (16.32), racer (15.57), sports_car (15.55), police_van (15.17), 
2012-01-31 20.23.58.jpg, electric_fan (13.01), iPod (12.76), joystick (12.71), dishwasher (12.45), maraca (12.31), 
2012-02-02 17.37.28.jpg, bell_pepper (21.04), pencil_sharpener (20.24), dumbbell (18.05), ice_lolly (17.65), candle (17.39), 
2012-02-02 17.39.50.jpg, drum (21.17), drumstick (18.86), steel_drum (14.87), cuirass (14.20), typewriter_keyboard (13.99), 
2012-02-02 17.40.12.jpg, electric_guitar (24.85), acoustic_guitar (17.56), rule (13.52), banjo (13.35), chain_saw (12.97), 
2012-02-02 17.42.32.jpg, street_sign (13.84), folding_chair (13.20), pencil_sharpener (12.46), wall_clock (12.29), envelope (12.25), 
2012-02-02 19.17.14.jpg, potter's_wheel (10.64), hen-of-the-woods (10.57), table_lamp (9.84), mortarboard (9.66), fur_coat (9.53), 
2012-02-09 23.05.23.jpg, reflex_camera (24.52), loudspeaker (19.99), switch (19.80), dial_telephone (19.79), tape_player (18.85), 
2012-02-17 20.19.45.jpg, espresso (18.96), beer_glass (17.57), eggnog (17.37), goblet (17.21), cocktail_shaker (16.39), 
2012-03-01 15.47.21.jpg, fountain (17.06), triceratops (16.82), beacon (16.59), feather_boa (14.53), obelisk (14.33), 
2012-03-02 16.48.23.jpg, cannon (14.69), projectile (14.01), tape_player (13.39), missile (13.16), CD_player (12.86), 
2012-03-06 10.28.03.jpg, moped (15.91), disk_brake (15.03), bicycle-built-for-two (14.99), tricycle (13.54), mountain_bike (13.47), 
2012-03-10 13.41.02.jpg, pizza (19.51), burrito (14.77), frying_pan (13.73), hotdog (13.42), mashed_potato (13.25), 
2012-03-11 13.37.45.jpg, loupe (17.38), binoculars (16.90), gasmask (15.42), lens_cap (14.53), knee_pad (14.21), 
2012-03-19 19.01.25.jpg, projectile (14.47), chest (13.50), submarine (13.20), cannon (13.18), missile (12.74), 
2012-03-20 15.14.43-2.jpg, grand_piano (13.24), marimba (11.79), refrigerator (11.30), stove (11.17), home_theater (11.13), 
2012-04-15 09.55.37.jpg, saltshaker (24.37), soap_dispenser (17.05), cocktail_shaker (17.03), water_jug (16.71), vase (16.44), 
2012-04-15 09.55.59.jpg, nipple (15.67), whiskey_jug (12.08), saltshaker (12.02), bubble (11.62), screw (11.52), 
2012-04-20 15.28.31.png, switch (16.24), Band_Aid (15.57), space_heater (14.75), file (13.28), soap_dispenser (12.53), 
2012-04-20 17.01.55.jpg, water_bottle (22.70), pop_bottle (20.66), nipple (19.11), hair_spray (18.38), cocktail_shaker (18.08), 
2012-05-04 18.37.29.jpg, home_theater (16.35), table_lamp (13.51), studio_couch (13.26), restaurant (13.15), screen (12.93), 
2012-05-20 18.39.05.jpg, wallet (14.03), lighter (11.48), quill (11.03), banded_gecko (10.86), pick (10.79), 
2012-05-20 20.23.10.jpg, bullet_train (15.81), croquet_ball (14.21), ping-pong_ball (13.50), mouse (12.90), pool_table (12.88), 
2012-05-20 20.23.12.jpg, mouse (13.09), spotlight (12.70), wok (12.20), punching_bag (12.09), maraca (11.67), 
2012-08-09 14.57.02.jpg, notebook (15.53), laptop (15.45), home_theater (15.28), studio_couch (13.61), computer_keyboard (13.24), 
2012-08-09 15.00.04.jpg, desktop_computer (20.82), monitor (20.09), home_theater (19.84), screen (19.31), computer_keyboard (16.74), 
2012-09-10 11.26.32.jpg, mountain_bike (24.32), bicycle-built-for-two (21.50), tricycle (18.15), disk_brake (17.98), moped (15.09), 
2012-09-10 11.26.55.jpg, mountain_bike (25.74), bicycle-built-for-two (23.77), disk_brake (20.38), moped (19.10), tricycle (17.88), 
2012-09-10 11.26.59.jpg, mountain_bike (16.00), fiddler_crab (15.73), oil_filter (15.25), apiary (15.16), moped (14.95), 
2012-09-10 18.02.55.jpg, photocopier (17.91), safe (17.57), printer (17.45), tape_player (16.54), toaster (16.49), 
2012-09-10 19.59.35.jpg, lotion (18.04), red_wine (16.06), sunscreen (15.77), oil_filter (15.62), wine_bottle (15.33), 
2012-09-11 11.36.20.jpg, ambulance (15.82), patio (15.21), police_van (15.19), minivan (15.04), mobile_home (14.93), 
2012-09-11 14.28.36.jpg, ice_cream (17.06), plate (16.20), waffle_iron (16.10), potpie (15.92), meat_loaf (15.91), 
2012-09-11 16.38.40.jpg, minivan (20.57), beach_wagon (17.12), police_van (15.02), grille (13.65), minibus (13.51), 
2012-09-12 13.42.18.jpg, hand_blower (21.08), gas_pump (17.02), power_drill (16.68), oil_filter (14.95), mountain_bike (13.45), 
2012-09-12 20.21.21.jpg, butcher_shop (19.39), cleaver (15.85), pomegranate (13.69), purse (12.55), head_cabbage (12.27), 
2012-09-12 21.03.17.jpg, plate (20.64), cauliflower (17.61), meat_loaf (17.57), mashed_potato (17.54), chocolate_sauce (15.76), 
2012-09-12 21.17.57.jpg, mortar (18.23), bagel (16.76), pretzel (14.40), chambered_nautilus (14.08), ice_cream (13.18), 
2012-09-13 09.29.50.jpg, eggnog (16.58), plate (16.06), lemon (15.87), ladle (15.74), corn (15.61), 
2012-09-13 09.32.10.jpg, chocolate_sauce (20.11), consomme (18.89), espresso (18.10), hot_pot (17.56), Crock_Pot (17.35), 
2012-09-13 09.52.23.jpg, handkerchief (12.95), rule (12.79), walking_stick (12.79), envelope (11.94), pillow (11.56), 
2012-09-13 13.20.33.jpg, carbonara (30.95), plate (23.95), soup_bowl (20.51), spaghetti_squash (19.88), restaurant (18.90), 
2012-09-13 13.41.26.jpg, ice_cream (28.82), chocolate_sauce (28.38), trifle (24.77), eggnog (20.94), consomme (20.19), 
2012-09-13 15.47.04.jpg, mountain_bike (18.69), bicycle-built-for-two (18.26), cliff_dwelling (15.03), disk_brake (14.22), cliff (13.39), 
2012-09-13 19.06.11.jpg, red_wine (22.35), mashed_potato (15.93), goblet (15.91), chocolate_sauce (14.81), cheeseburger (14.14), 
2012-09-14 17.58.45.jpg, beer_glass (30.14), espresso (23.87), hotdog (22.73), cheeseburger (21.78), goblet (21.75), 
2012-09-14 19.48.39.jpg, red_wine (21.37), wine_bottle (20.07), lotion (16.71), beer_bottle (15.42), chocolate_sauce (14.18), 
2012-09-15 10.49.42.jpg, chime (22.15), bell_cote (16.59), caldron (14.12), birdhouse (12.36), traffic_light (11.67), 
2012-09-15 11.27.13.jpg, plunger (13.93), potpie (12.82), pretzel (12.75), bagel (11.28), French_loaf (11.26), 
2012-09-15 14.33.51.jpg, toilet_seat (12.31), plunger (11.63), pick (11.62), punching_bag (11.51), medicine_chest (11.45), 
2012-09-15 16.33.39.jpg, chocolate_sauce (20.12), mashed_potato (18.20), plate (18.01), ice_cream (17.97), pretzel (16.98), 
2012-09-15 17.03.39.jpg, triumphal_arch (15.53), water_tower (14.05), bell_cote (13.43), balloon (13.28), palace (12.42), 
2012-09-15 17.10.47.jpg, triumphal_arch (13.02), bell_cote (12.16), palace (10.95), monastery (10.80), mosque (10.68), 
2012-09-15 17.44.28.jpg, quail (13.38), triceratops (13.28), crate (13.18), ruffed_grouse (12.95), wreck (12.94), 
2012-09-15 18.19.38.jpg, mosque (18.29), triumphal_arch (17.84), palace (17.31), dome (16.75), monastery (16.54), 
2012-09-15 18.19.46.jpg, mosque (15.86), bell_cote (14.52), dome (13.80), monastery (13.35), obelisk (13.06), 
2012-09-15 18.34.50.jpg, mosque (19.56), dome (17.83), police_van (17.54), monastery (16.42), moving_van (16.38), 
2012-09-15 18.49.22.jpg, palace (17.07), monastery (17.07), vault (16.69), dome (16.63), bell_cote (16.46), 
2012-09-15 20.08.02.jpg, wine_bottle (16.82), beer_bottle (15.76), iPod (15.68), red_wine (15.64), cellular_telephone (15.23), 
2012-09-15 20.08.11.jpg, wine_bottle (16.06), beer_bottle (14.04), red_wine (13.80), iPod (13.44), lotion (12.69), 
2012-09-17 14.30.27.jpg, pop_bottle (16.14), beer_bottle (15.63), shopping_basket (14.68), packet (14.52), thimble (14.30), 
2012-09-23 11.04.04.jpg, purse (23.34), wallet (23.01), buckle (19.42), mailbag (18.62), pencil_box (18.12), 
2012-09-29 16.39.39 HDR.jpg, Shetland_sheepdog (13.50), Greater_Swiss_Mountain_dog (13.05), Weimaraner (13.01), espresso_maker (12.99), basset (12.76), 
2012-11-30 18.30.16.jpg, meat_loaf (26.47), cheeseburger (26.08), mashed_potato (26.07), plate (25.58), ice_cream (25.20), 
2012-12-08 15.38.58.jpg, jinrikisha (22.13), tow_truck (15.22), fire_engine (14.88), garbage_truck (14.65), thresher (14.60), 
2012-12-21 12.56.25.jpg, wall_clock (15.43), mouse (14.44), analog_clock (13.34), washer (12.67), lampshade (12.49), 
2012-12-28 10.59.55.jpg, matchstick (15.30), computer_keyboard (15.11), lighter (13.76), switch (13.47), accordion (13.08), 
2013-01-13 13.01.49.jpg, Loafer (20.68), running_shoe (20.15), shoe_shop (20.03), cowboy_boot (20.02), sandal (19.74), 
2013-01-13 13.03.24.jpg, Loafer (31.83), sandal (26.96), running_shoe (25.52), shoe_shop (24.65), clog (23.93), 
2013-02-01 17.45.49.jpg, cucumber (16.16), zucchini (15.82), computer_keyboard (14.45), typewriter_keyboard (14.30), tray (13.91), 
2013-03-09 14.46.15.jpg, alp (12.86), promontory (11.52), valley (11.23), pier (11.07), beacon (10.80), 
2013-03-16 13.12.07.jpg, armadillo (16.16), scorpion (14.94), tailed_frog (13.71), isopod (13.04), frilled_lizard (12.77), 
2013-04-28 18.39.39.jpg, bookcase (18.81), hair_spray (18.69), medicine_chest (17.32), lipstick (15.54), lotion (15.53), 
2013-05-13 13.17.21.jpg, wreck (18.88), crate (15.58), sundial (15.15), chest (15.09), worm_fence (14.11), 
2013-05-13 13.17.37.jpg, beacon (13.26), suspension_bridge (12.31), dome (12.12), church (11.84), boathouse (11.71), 
2013-05-13 16.26.46.jpg, beacon (26.15), breakwater (20.48), missile (17.90), projectile (17.25), church (15.40), 
2013-05-20 10.05.09.jpg, four-poster (16.51), quilt (16.35), studio_couch (16.24), crib (15.68), bassinet (14.61), 
2013-05-27 12.26.03.jpg, table_lamp (21.14), lampshade (19.22), paper_towel (17.45), toilet_tissue (16.94), candle (14.66), 
2013-06-01 09.18.33.jpg, sandbar (14.86), lakeside (13.63), seashore (12.84), coho (12.38), breakwater (10.57), 
2013-06-02 18.17.27.jpg, carbonara (23.97), cheeseburger (23.57), hotdog (22.83), cup (20.50), coffee_mug (20.06), 
2013-06-08 17.54.37.jpg, bib (13.93), handkerchief (12.42), vestment (12.31), apron (12.18), bath_towel (11.89), 
2013-06-08 20.45.29.jpg, wild_boar (13.98), African_hunting_dog (13.48), hog (13.33), hyena (13.29), Border_terrier (12.33), 
2013-06-12 07.59.31.jpg, lotion (18.14), sunscreen (17.55), nipple (16.40), hair_spray (15.77), cash_machine (13.86), 
2013-06-13 14.25.04.jpg, hourglass (15.09), water_bottle (13.63), pop_bottle (12.54), wall_clock (11.96), water_jug (11.89), 
2013-08-28 17.24.59.jpg, volleyball (15.65), scoreboard (15.23), airliner (14.11), ballplayer (13.89), solar_dish (13.01), 
2013-08-28 17.29.49.jpg, scoreboard (14.27), airliner (12.87), solar_dish (12.85), container_ship (12.41), jigsaw_puzzle (12.05), 
2013-08-31 11.49.22.jpg, dining_table (23.89), patio (19.41), folding_chair (18.95), park_bench (18.73), desk (17.09), 
2013-08-31 20.09.37.jpg, hotdog (17.62), pizza (16.77), cheeseburger (16.47), crayfish (15.83), plate (14.75), 
2013-09-01 19.39.50.jpg, soup_bowl (22.87), consomme (22.31), hot_pot (19.06), wooden_spoon (17.64), ladle (17.61), 
2013-09-10 18.31.00.jpg, bottlecap (15.63), ocarina (14.24), strawberry (14.09), saltshaker (14.01), pomegranate (13.76), 
2013-09-23 11.36.42.jpg, backpack (14.75), desk (14.16), muzzle (13.39), holster (13.21), paper_towel (12.50), 
2013-09-23 11.37.20.jpg, chiffonier (23.24), file (20.64), chest (18.62), desk (16.41), wardrobe (15.96), 
2013-09-23 11.38.34.jpg, bookcase (17.41), bath_towel (14.53), library (14.24), bookshop (13.70), wool (13.29), 
2013-09-23 11.38.42.jpg, bookcase (20.83), library (17.29), bookshop (15.19), comic_book (14.25), cassette (14.00), 
2013-09-23 11.38.53.jpg, notebook (13.95), printer (13.85), laptop (13.65), file (13.58), loudspeaker (13.23), 
2013-09-23 11.39.01.jpg, bookcase (20.17), library (19.36), bookshop (16.56), cassette (15.67), ballpoint (15.45), 
2013-09-26 14.44.24.jpg, medicine_chest (12.43), crate (12.33), carton (11.84), wardrobe (11.33), four-poster (11.19), 
2013-09-26 15.04.10.jpg, guillotine (12.25), wardrobe (11.88), crate (10.92), chest (10.81), medicine_chest (10.66), 
2013-10-02 16.21.41.jpg, refrigerator (15.71), medicine_chest (15.29), dishwasher (14.99), microwave (13.91), wardrobe (13.62), 
2013-10-03 17.38.18.jpg, modem (14.83), switch (14.24), wardrobe (13.75), remote_control (12.83), notebook (12.23), 
2013-10-05 12.16.02.jpg, medicine_chest (18.26), washbasin (18.23), microwave (17.90), file (17.55), safe (16.68), 
2013-10-08 10.29.01.jpg, quilt (14.95), sleeping_bag (14.60), studio_couch (13.82), home_theater (13.34), television (11.96), 
2013-10-08 10.43.44.jpg, four-poster (22.01), studio_couch (19.07), quilt (18.61), bassinet (16.58), cradle (15.28), 
2013-10-15 15.01.44.jpg, hen-of-the-woods (17.79), carbonara (17.09), plate (16.55), gyromitra (16.53), cauliflower (16.04), 
2013-10-22 13.53.19.jpg, weevil (13.80), long-horned_beetle (13.54), ground_beetle (13.07), cockroach (12.86), American_lobster (12.66), 
2013-10-24 12.33.50.jpg, promontory (17.40), lakeside (17.33), dam (17.00), valley (14.97), seashore (14.32), 
2013-10-24 18.01.55.jpg, water_tower (12.26), missile (12.26), prison (12.17), projectile (11.77), trailer_truck (11.62), 
2013-10-25 18.10.44.jpg, beach_wagon (16.37), minivan (16.21), cab (15.63), sports_car (14.67), car_wheel (14.01), 
2013-10-25 19.29.44.jpg, monitor (12.29), menu (11.93), screen (11.12), scoreboard (10.85), space_shuttle (10.50), 
2013-10-26 09.57.26.jpg, valley (14.89), viaduct (13.63), cliff (12.81), alp (12.59), promontory (10.56), 
2013-10-26 13.07.40.jpg, cheeseburger (31.39), bagel (24.43), plate (21.18), cup (20.68), meat_loaf (20.37), 
2013-10-26 16.51.57.jpg, Chihuahua (11.36), bonnet (11.19), Siamese_cat (10.34), conch (10.20), sax (10.09), 
2013-10-26 16.57.43 HDR.jpg, suit (14.06), Windsor_tie (14.02), quill (12.57), plastic_bag (11.55), abaya (11.04), 
2013-10-26 17.36.14 HDR.jpg, bannister (13.17), candle (12.85), folding_chair (12.69), matchstick (12.46), stove (11.65), 
2013-10-27 13.05.42.jpg, viaduct (19.49), dam (17.70), steel_arch_bridge (14.47), cliff (13.87), valley (13.32), 
2013-10-27 13.05.58 HDR.jpg, Gila_monster (13.90), valley (13.17), alp (12.46), cliff (12.14), promontory (11.58), 
2013-11-03 00.43.25.jpg, bookcase (11.43), quilt (11.25), stole (11.21), medicine_chest (10.99), neck_brace (10.79), 
2013-11-03 16.53.35.jpg, carton (12.40), quilt (11.77), studio_couch (11.39), pillow (11.37), window_shade (11.35), 
2013-11-04 14.28.36.jpg, carpenter's_kit (14.20), screwdriver (13.98), cleaver (13.44), turnstile (12.67), cornet (12.61), 
2013-11-06 13.33.38.jpg, waffle_iron (26.00), coffeepot (20.09), water_jug (18.43), milk_can (18.36), pitcher (17.36), 
2013-11-22 14.37.17.jpg, beacon (19.22), drilling_platform (17.38), liner (15.40), water_tower (14.72), breakwater (14.36), 
2013-11-25 19.41.09.jpg, beer_glass (15.81), pomegranate (15.63), red_wine (15.43), goblet (13.23), perfume (13.13), 
2013-12-01 21.33.32.jpg, soup_bowl (14.54), mixing_bowl (14.44), trifle (13.58), eggnog (12.79), ice_lolly (12.68), 
